feature,mean_abs_shap
checking_status,0.6494475151771223
savings_status,0.33383278857411874
credit_history,0.32932628255788693
installment_rate,0.2855628741188344
property_magnitude,0.2508400184279549
other_payment_plans,0.2476460761257289
employment,0.22636874108594524
duration,0.21430682023371278
credit_amount,0.19403322118613264
own_telephone,0.18054865156157343
personal_status,0.16417703134241227
housing,0.13724254919338355
foreign_worker,0.09645082109221528
existing_credits,0.09546264923115595
num_dependents,0.05891047385589578
other_parties,0.04163630898791298
age,0.013851303163971887
residence_since,0.01156367879584425
job,0.006912747898272858
purpose,0.0037072939779353126
